Code_departement,Departement,Code_region,Population_15_19_ans_2016,Population_15_19_ans_2022
44,Loire-Atlantique,52,89045.0708116994,95429.7843251533
49,Maine-et-Loire,52,54185.5870403927,58271.527824469
53,Mayenne,52,18710.35737616502,19467.52149253191
72,Sarthe,52,35446.3560884072,36936.683221857704
85,Vendée,52,37285.1388543461,40886.5262720596
